City_ID,city,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mar Del Plata,AR,2022-01-24 17:05:54,-38.0023,-57.5575,89.62,76,0,10.0
68,Mataura,NZ,2022-01-24 17:08:08,-46.1927,168.8643,41.86,98,71,1.25
69,Saurimo,AO,2022-01-24 17:08:08,-9.6608,20.3916,68.09,90,99,4.32
70,Arraial Do Cabo,BR,2022-01-24 17:06:29,-22.9661,-42.0278,84.06,65,0,24.16
71,Tuktoyaktuk,CA,2022-01-24 17:08:08,69.4541,-133.0374,11.12,93,67,10.85
72,Lethem,GY,2022-01-24 17:08:09,3.3803,-59.7968,93.74,38,47,9.4
73,Iqaluit,CA,2022-01-24 17:08:09,63.7506,-68.5145,-13.31,69,100,5.99
74,Yashkul,RU,2022-01-24 17:08:09,46.1711,45.3435,32.41,96,97,10.83
75,Aklavik,CA,2022-01-24 17:08:10,68.2191,-135.0107,15.78,92,100,14.05
76,Aban,RU,2022-01-24 17:08:10,56.67,96.06,5.09,97,100,4.7
77,Cape Town,ZA,2022-01-24 17:06:02,-33.9258,18.4232,74.1,74,40,7.0
78,Khatanga,RU,2022-01-24 17:08:11,71.9667,102.5,-0.4,95,98,14.07
79,Tucson,US,2022-01-24 17:03:22,32.2217,-110.9265,60.57,53,0,1.99
80,Wanning,CN,2022-01-24 17:08:12,18.8003,110.3967,71.47,90,15,3.85
81,Porbandar,IN,2022-01-24 17:08:12,21.6422,69.6093,65.32,37,0,8.48
82,Nouadhibou,MR,2022-01-24 17:08:12,20.931,-17.0347,71.2,60,100,11.7
83,Enid,US,2022-01-24 17:08:13,36.3956,-97.8784,55.15,36,0,5.01
84,Moranbah,AU,2022-01-24 17:09:13,-22.0016,148.0466,77.11,62,100,5.35
85,Sechura,PE,2022-01-24 17:09:13,-5.5569,-80.8222,82.35,56,92,10.49
86,Victoria,HK,2022-01-24 17:07:32,22.2855,114.1577,66.96,85,98,1.99
87,Puerto Ayora,EC,2022-01-24 17:09:14,-0.7393,-90.3518,82.36,75,93,9.1
88,Iaciara,BR,2022-01-24 17:09:14,-14.0958,-46.6317,86.79,52,25,2.71
89,Bet Shemesh,IL,2022-01-24 17:09:14,31.7496,34.9888,47.05,100,100,5.08
90,Nioro,GM,2022-01-24 17:09:15,13.35,-15.75,97.02,7,65,8.03
91,Hasaki,JP,2022-01-24 17:09:15,35.7333,140.8333,32.4,57,4,18.52
92,Andros Town,BS,2022-01-24 17:07:47,24.7,-77.7667,67.96,58,9,7.31
93,Nizhniy Kuranakh,RU,2022-01-24 17:09:16,58.8353,125.4869,-15.21,100,58,3.6
94,Dikson,RU,2022-01-24 17:07:56,73.5069,80.5464,10.11,92,100,27.67
95,Pierre,US,2022-01-24 17:06:07,44.3683,-100.351,18.86,68,100,1.01
96,Sola,VU,2022-01-24 17:09:16,-13.8833,167.55,83.53,74,100,7.56
97,Nanortalik,GL,2022-01-24 17:09:16,60.1432,-45.2371,27.79,93,100,6.78
98,Moron,AR,2022-01-24 17:09:17,-34.6534,-58.6198,87.01,68,78,2.8
99,Taikang,CN,2022-01-24 17:09:17,46.8333,124.4167,0.5,97,100,3.74
100,Simpang,ID,2022-01-24 17:09:18,-1.2667,104.0833,75.47,91,89,2.19
101,Havoysund,NO,2022-01-24 17:09:18,70.9963,24.6622,30.43,69,100,38.07
102,Banfora,BF,2022-01-24 17:05:01,10.6333,-4.7667,91.49,8,4,7.2
103,Bethel,US,2022-01-24 17:09:19,41.3712,-73.414,31.17,62,0,4.61
104,Pitsunda,GE,2022-01-24 17:09:19,43.1592,40.3378,35.78,93,100,9.89
105,Arlit,NE,2022-01-24 17:09:19,18.7369,7.3853,70.88,12,57,18.81
106,Zeya,RU,2022-01-24 17:09:20,53.75,127.2667,-7.2,97,7,2.77
107,Hamilton,US,2022-01-24 17:08:45,39.1834,-84.5333,35.01,70,100,3.0
108,Yellowknife,CA,2022-01-24 17:09:20,62.456,-114.3525,-25.83,98,24,5.46
109,Gimli,CA,2022-01-24 17:09:20,50.6336,-96.9907,-10.88,95,98,11.01
110,Vao,NC,2022-01-24 17:09:21,-22.6667,167.4833,77.2,67,100,4.81
111,Sibu,MY,2022-01-24 17:09:21,2.3,111.8167,73.33,99,100,2.06
112,Jaumave,MX,2022-01-24 17:09:21,23.4167,-99.3833,43.88,45,99,3.83
113,Kruisfontein,ZA,2022-01-24 17:09:22,-34.0033,24.7314,73.89,79,17,16.8
114,Saint-Augustin,CA,2022-01-24 17:09:22,51.226,-58.6502,18.68,81,97,4.09
115,Karaman,TR,2022-01-24 17:04:57,37.0833,33.25,5.67,91,49,3.24
116,Fukue,JP,2022-01-24 17:09:23,32.6881,128.8419,51.12,62,96,19.6
117,Chokurdakh,RU,2022-01-24 17:09:23,70.6333,147.9167,-18.92,99,100,5.3
118,Bilibino,RU,2022-01-24 17:09:24,68.0546,166.4372,-42.18,100,100,1.77
119,Alghero,IT,2022-01-24 17:09:24,40.5589,8.3181,50.09,81,0,6.91
120,Pauini,BR,2022-01-24 17:09:24,-7.7136,-66.9764,89.83,56,72,4.38
121,Changji,CN,2022-01-24 17:09:25,44.0167,87.3167,12.99,85,100,2.24
122,Zyryanka,RU,2022-01-24 17:09:25,65.75,150.85,-32.19,100,98,5.95
123,Norman Wells,CA,2022-01-24 17:09:25,65.282,-126.8329,10.76,95,65,10.63
124,Punto Fijo,VE,2022-01-24 17:09:26,11.6956,-70.1996,82.71,59,43,21.65
125,Atambua,ID,2022-01-24 17:09:26,-9.1061,124.8925,75.11,88,100,1.14
126,Mayo,US,2022-01-24 17:09:26,38.8876,-76.5119,41.34,54,0,8.99
127,Caravelas,BR,2022-01-24 17:09:27,-17.7125,-39.2481,84.2,61,94,8.34
128,Cherskiy,RU,2022-01-24 17:09:27,68.75,161.3,-27.36,99,100,7.67
129,Leningradskiy,RU,2022-01-24 17:10:28,69.3833,178.4167,-23.49,81,85,8.3
130,Ontario,US,2022-01-24 17:05:50,34.0633,-117.6509,66.38,39,0,0.0
131,Barrow,US,2022-01-24 17:10:28,71.2906,-156.7887,8.62,78,100,26.46
132,Zhangjiakou,CN,2022-01-24 17:10:28,40.81,114.8794,21.2,86,100,5.08
133,Tsiroanomandidy,MG,2022-01-24 17:10:29,-18.7667,46.0333,68.74,93,100,4.45
134,Port Talbot,GB,2022-01-24 17:10:29,51.5924,-3.7802,42.19,82,97,6.62
135,Gazli,UZ,2022-01-24 17:10:29,40.1333,63.45,36.81,65,4,11.65
136,Biscarrosse,FR,2022-01-24 17:10:30,44.3945,-1.1672,52.03,61,0,2.48
137,Bathsheba,BB,2022-01-24 17:10:30,13.2167,-59.5167,84.81,54,20,19.57
138,Tenenkou,ML,2022-01-24 17:10:30,14.4572,-4.9169,86.88,7,34,13.24
139,Katsuura,JP,2022-01-24 17:10:31,35.1333,140.3,40.19,62,4,13.13
140,Atuona,PF,2022-01-24 17:10:31,-9.8,-139.0333,78.12,76,9,18.05
141,Butaritari,KI,2022-01-24 17:10:31,3.0707,172.7902,82.15,70,53,14.94
142,Daru,PG,2022-01-24 17:10:32,-9.0763,143.2092,78.93,86,100,2.39
143,Poso,ID,2022-01-24 17:10:32,-1.3959,120.7524,78.04,81,65,3.67
144,Mangrol,IN,2022-01-24 17:10:32,21.1167,70.1167,64.18,56,0,6.85
145,Hohhot,CN,2022-01-24 17:10:33,40.8106,111.6522,14.4,83,38,3.87
146,Clyde River,CA,2022-01-24 17:10:33,70.4692,-68.5914,-15.47,92,98,10.47
147,Axim,GH,2022-01-24 17:10:33,4.8699,-2.2405,83.16,68,70,10.65
148,Petropavlovsk-Kamchatskiy,RU,2022-01-24 17:10:34,53.0452,158.6483,-0.22,65,30,7.9
149,Yerbogachen,RU,2022-01-24 17:10:34,61.2767,108.0108,-18.11,100,90,4.0
150,Hirara,JP,2022-01-24 17:10:34,24.8,125.2833,69.1,70,97,19.26
151,Solntsevo,RU,2022-01-24 17:10:35,51.4185,36.7499,23.34,95,93,9.73
152,Bograd,RU,2022-01-24 17:10:35,54.2344,90.8328,-7.85,99,63,3.13
153,Saint-Philippe,RE,2022-01-24 17:10:35,-21.3585,55.7679,78.39,74,96,16.82
154,Bengkulu,ID,2022-01-24 17:10:36,-3.8004,102.2655,77.05,84,100,3.47
155,Najran,SA,2022-01-24 17:10:36,17.4924,44.1277,65.64,28,0,4.76
156,Sao Jose Da Coroa Grande,BR,2022-01-24 17:10:36,-8.8978,-35.1478,84.99,62,94,11.88
157,Wagga Wagga,AU,2022-01-24 17:10:37,-35.1167,147.3667,68.85,62,99,8.23
158,Baykit,RU,2022-01-24 17:10:37,61.67,96.37,-4.88,100,93,2.04
159,Jeremie,HT,2022-01-24 17:10:38,18.65,-74.1167,80.33,65,4,2.35
160,Warri,NG,2022-01-24 17:10:38,5.5167,5.75,89.31,47,3,9.91
161,Soe,ID,2022-01-24 17:10:38,-9.8607,124.284,66.04,91,92,3.69
162,Severo-Kurilsk,RU,2022-01-24 17:10:39,50.6789,156.125,22.53,72,94,9.31
163,East London,ZA,2022-01-24 17:10:39,-33.0153,27.9116,76.44,74,0,5.5
164,Constitucion,CL,2022-01-24 17:10:39,-35.3333,-72.4167,71.55,60,4,16.49
165,Hermanus,ZA,2022-01-24 17:10:40,-34.4187,19.2345,75.9,79,39,8.23
166,Hundested,DK,2022-01-24 17:10:40,55.9667,11.8667,41.86,91,100,3.0
167,Aketi,CD,2022-01-24 17:10:41,2.7388,23.7833,83.05,32,79,1.83
168,Manggar,ID,2022-01-24 17:10:41,-2.8833,108.2667,79.45,78,66,9.55
169,South Lake Tahoe,US,2022-01-24 17:07:41,38.9332,-119.9844,42.75,59,5,2.95
170,Rossano,IT,2022-01-24 17:10:41,39.5751,16.6349,28.58,64,90,14.41
171,Yola,NG,2022-01-24 17:10:42,9.2,12.4833,87.04,13,8,5.61
172,San Quintin,MX,2022-01-24 17:10:42,30.4833,-115.95,62.24,50,0,3.8
173,Bundaberg,AU,2022-01-24 17:10:42,-24.85,152.35,73.69,90,100,1.01
174,Hithadhoo,MV,2022-01-24 17:10:43,-0.6,73.0833,81.52,74,78,11.07
175,Camabatela,AO,2022-01-24 17:10:43,-8.1881,15.375,67.95,84,100,0.78
176,Ancud,CL,2022-01-24 17:11:44,-41.8697,-73.8203,62.13,71,53,6.11
177,Ixcatepec,MX,2022-01-24 17:11:44,21.2,-97.95,68.54,73,42,5.32
178,Bosobolo,CD,2022-01-24 17:11:18,4.1833,19.9,84.54,23,42,2.24
179,Esperance,AU,2022-01-24 17:11:44,-33.8667,121.9,63.46,87,29,10.54
180,Port-Gentil,GA,2022-01-24 17:11:45,-0.7193,8.7815,80.58,78,14,8.5
181,Veinticinco De Mayo,AR,2022-01-24 17:11:45,-35.4323,-60.1727,87.06,60,100,4.0
182,Pasni,PK,2022-01-24 17:11:45,25.2631,63.471,67.3,29,0,14.45
183,Gazimurskiy Zavod,RU,2022-01-24 17:11:46,51.5461,118.3266,-1.03,99,100,1.81
184,Hay River,CA,2022-01-24 17:10:01,60.8156,-115.7999,-7.64,77,75,3.44
185,Upernavik,GL,2022-01-24 17:11:46,72.7868,-56.1549,-6.54,75,79,8.77
186,Itoman,JP,2022-01-24 17:11:46,26.1247,127.6694,66.22,77,100,6.91
