City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
256,Bonthe,SL,85.1,broken clouds,7.5264,-12.505,Bonthe Holiday Village
258,Apatou,GF,79.47,broken clouds,5.155,-54.3472,Yoto quensha
261,Kingston,JM,81.16,clear sky,17.997,-76.7936,The Jamaica Pegasus Hotel
262,Sambava,MG,78.96,few clouds,-14.2667,50.1667,Melrose
263,Karratha,AU,79.68,light rain,-20.7377,116.8463,ibis Styles Karratha
268,Mersing,MY,76.06,broken clouds,2.4312,103.8405,Timotel Hotel
274,Ambanja,MG,75.13,moderate rain,-13.6833,48.45,Hotel Salama and Fast Food
276,Pangai,TO,82.98,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
279,Hambantota,LK,76.48,overcast clouds,6.1241,81.1185,Bungalow 63
282,Jalingo,NG,88.18,broken clouds,8.8833,11.3667,Debright Motel
290,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
292,Richards Bay,ZA,80.58,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
296,Lorengau,PG,80.92,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
298,Santa Isabel Do Para,BR,84.02,light rain,-1.2986,-48.1606,Eco Motel Santa Isabel do Pará
313,Isangel,VU,79.7,overcast clouds,-19.55,169.2667,Tanna Lodge
315,Campoverde,PE,87.49,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
316,Kudahuvadhoo,MV,80.58,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
317,Ugoofaaru,MV,79.47,scattered clouds,5.6667,73.0,Ungoofaaru Inn
320,Piacabucu,BR,85.17,few clouds,-10.4056,-36.4344,Piaçabuçu News
321,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
324,Arawa,PG,76.66,overcast clouds,-6.2132,155.5367,Coastline Guest House
325,Utinga,BR,85.05,moderate rain,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
326,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
329,Los Amates,GT,79.52,broken clouds,15.2667,-89.1,Las Basas
331,Grand Gaube,MU,77.4,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
333,Chachoengsao,TH,84.61,few clouds,13.6167,101.4167,บ้านเจ๊น้อยห้วยหิน
335,Kuah,MY,81.03,broken clouds,6.3265,99.8432,Azio Hotel
