City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
79,Longyearbyen,78.2186,15.6401,8.44,72,75,10.36,SJ,broken clouds
80,Cidreira,-30.1811,-50.2056,74.75,79,100,19.17,BR,overcast clouds
81,Huambo,-12.7761,15.7392,61.66,96,98,8.16,AO,heavy intensity rain
82,Hithadhoo,-0.6,73.0833,81.57,73,100,17.31,MV,moderate rain
83,Alugan,12.2188,125.4808,79.21,82,70,9.24,PH,broken clouds
84,Anadyr,64.75,177.4833,-3.12,95,100,2.77,RU,overcast clouds
85,Bluff,-46.6,168.3333,40.8,77,94,4.43,NZ,overcast clouds
86,Avarua,-21.2078,-159.775,78.85,94,75,11.5,CK,broken clouds
87,Komsomolskiy,40.4272,71.7189,36.82,69,0,4.61,UZ,haze
88,Fort Nelson,58.8053,-122.7002,11.84,99,98,3.06,CA,overcast clouds
89,Altay,47.8667,88.1167,-0.71,78,81,7.78,CN,broken clouds
90,Zhaozhou,45.6833,125.3167,-5.3,99,39,5.91,CN,scattered clouds
91,Bandarbeyla,9.4942,50.8122,75.87,68,100,16.33,SO,overcast clouds
92,Anloga,5.7947,0.8973,82.76,68,94,10.65,GH,overcast clouds
93,Iqaluit,63.7506,-68.5145,-9.31,76,100,8.01,CA,light snow
94,Beisfjord,68.3751,17.5988,29.25,95,86,4.07,NO,light snow
95,Weligama,5.9667,80.4167,74.34,81,100,7.72,LK,overcast clouds
96,Jiblah,13.9216,44.1467,59.99,72,17,3.22,YE,few clouds
97,Dolores,-36.3132,-57.6792,72.97,40,13,10.16,AR,few clouds
98,Chokurdakh,70.6333,147.9167,-24.57,90,44,13.0,RU,scattered clouds
99,Takoradi,4.8845,-1.7554,83.32,65,10,11.01,GH,clear sky
100,Hilo,19.7297,-155.09,67.62,74,20,9.22,US,few clouds
101,Russellville,35.2784,-93.1338,38.17,48,100,0.0,US,overcast clouds
102,Cape Town,-33.9258,18.4232,72.27,64,1,5.01,ZA,clear sky
103,Nong Ki,14.6868,102.538,85.01,39,91,4.76,TH,overcast clouds
104,Saskylakh,71.9167,114.0833,2.8,83,67,11.88,RU,broken clouds
105,Chalus,36.655,51.4204,48.56,90,97,4.59,IR,overcast clouds
106,Novyye Burasy,52.1324,46.0714,17.83,98,98,4.94,RU,overcast clouds
107,Villarrica,-25.75,-56.4333,78.19,90,98,8.77,PY,overcast clouds
108,Ayna,-12.65,-73.9167,69.57,71,98,2.91,PE,overcast clouds
109,Port Lincoln,-34.7333,135.8667,65.14,89,0,10.13,AU,clear sky
110,Boden,65.8252,21.6886,23.0,97,97,2.68,SE,overcast clouds
111,Vila Franca Do Campo,37.7167,-25.4333,61.21,71,70,12.06,PT,broken clouds
112,Taoudenni,22.6783,-3.9836,81.45,11,94,14.97,ML,overcast clouds
113,Nyurba,63.2842,118.3319,-8.23,93,22,6.93,RU,few clouds
114,Dondo,-19.6094,34.7431,81.91,91,100,5.66,MZ,overcast clouds
115,Arraial Do Cabo,-22.9661,-42.0278,80.62,76,53,14.29,BR,broken clouds
116,Boda,4.3189,17.4695,86.09,17,69,3.69,CF,broken clouds
117,Hamilton,39.1834,-84.5333,32.74,52,100,3.0,US,overcast clouds
118,Peterhead,57.5058,-1.7981,42.12,72,11,19.8,GB,few clouds
119,Russell,32.3502,-85.1999,52.97,42,0,6.49,US,clear sky
120,Vanimo,-2.6741,141.3028,77.81,88,100,1.81,PG,overcast clouds
121,Takab,36.4009,47.1133,17.42,95,90,3.24,IR,overcast clouds
122,Port Elizabeth,-33.918,25.5701,71.1,85,30,11.3,ZA,scattered clouds
123,Hualmay,-11.0964,-77.6139,75.16,74,94,11.61,PE,overcast clouds
124,Manta,-0.95,-80.7333,80.38,78,75,9.22,EC,broken clouds
125,Bumba,2.1833,22.4667,81.3,36,100,0.92,CD,overcast clouds
126,Iquique,-20.2208,-70.1431,73.44,70,71,8.14,CL,broken clouds
127,Qaanaaq,77.484,-69.3632,-7.11,67,97,6.8,GL,overcast clouds
128,Svetlogorsk,52.6333,29.7333,31.44,96,100,9.95,BY,overcast clouds
129,Cherskiy,68.75,161.3,-39.06,97,21,2.19,RU,few clouds
130,Lavrentiya,65.5833,-171.0,-11.9,81,46,1.57,RU,scattered clouds
131,Raudeberg,61.9875,5.1352,38.98,79,100,5.99,NO,light rain
132,Nailsea,51.4324,-2.7585,51.42,78,27,4.61,GB,scattered clouds
133,Severo-Kurilsk,50.6789,156.125,24.28,72,92,32.53,RU,overcast clouds
134,Kayankulam,9.1833,76.5,77.95,77,91,4.16,IN,overcast clouds
135,Laurel,39.0993,-76.8483,33.75,49,0,1.01,US,clear sky
136,Mount Gambier,-37.8333,140.7667,66.11,88,100,5.75,AU,overcast clouds
137,Tilichiki,60.4667,166.1,26.33,86,100,30.87,RU,light snow
138,Limoux,42.9167,2.1667,50.11,76,0,5.39,FR,clear sky
139,Khanpur,28.6453,70.6567,58.05,20,0,1.74,PK,clear sky
140,Ambon,-3.6954,128.1814,77.14,88,20,5.75,ID,few clouds
141,Milkovo,54.7167,158.6167,9.59,97,100,1.86,RU,light snow
142,Ostersund,63.1792,14.6357,30.61,100,100,5.75,SE,overcast clouds
143,Tiksi,71.6872,128.8694,-11.92,97,36,11.14,RU,scattered clouds
144,Alice Springs,-23.7,133.8833,78.35,73,100,9.22,AU,overcast clouds
145,Santiago Del Estero,-27.7951,-64.2615,75.94,66,99,12.59,AR,overcast clouds
146,Kinkala,-4.3614,14.7644,78.33,80,35,4.65,CG,scattered clouds
147,Melilla,35.2937,-2.9383,59.38,58,0,6.91,ES,clear sky
148,Shingu,33.7333,135.9833,38.86,77,3,6.8,JP,clear sky
149,New Norfolk,-42.7826,147.0587,69.3,67,96,2.44,AU,overcast clouds
150,Rawson,-43.3002,-65.1023,83.12,31,1,14.41,AR,clear sky
151,Alanya,36.5438,31.9998,42.93,50,0,10.8,TR,clear sky
152,Flinders,-34.5833,150.8552,74.21,90,41,7.99,AU,scattered clouds
153,Upernavik,72.7868,-56.1549,-8.09,72,41,7.61,GL,scattered clouds
154,Half Moon Bay,37.4636,-122.4286,56.97,79,0,0.0,US,mist
155,Antalaha,-14.9003,50.2788,75.99,77,22,10.83,MG,few clouds
156,Kavieng,-2.5744,150.7967,82.0,74,97,4.88,PG,overcast clouds
157,Pevek,69.7008,170.3133,-27.83,100,28,3.02,RU,scattered clouds
158,Qandala,11.472,49.8728,74.97,68,89,6.11,SO,overcast clouds
159,Ucluelet,48.9329,-125.5528,43.41,59,38,6.93,CA,scattered clouds
160,Chuy,-33.6971,-53.4616,73.27,50,5,14.7,UY,clear sky
161,Blessington,53.17,-6.5325,47.7,85,75,6.91,IE,broken clouds
162,Simao,22.7886,100.9748,54.66,85,56,1.28,CN,broken clouds
163,Tazovskiy,67.4667,78.7,4.06,92,100,13.47,RU,overcast clouds
164,Chico,39.7285,-121.8375,49.68,53,0,1.05,US,clear sky
165,Ancud,-41.8697,-73.8203,81.43,58,0,7.56,CL,clear sky
166,Petropavlovsk-Kamchatskiy,53.0452,158.6483,10.6,77,100,16.28,RU,overcast clouds
167,Hauknes,66.2833,14.0667,30.74,93,100,2.3,NO,light snow
168,Fare,-16.7,-151.0167,80.74,76,22,15.55,PF,light rain
169,Kabalo,-6.05,26.9167,69.48,97,96,3.02,CD,overcast clouds
170,Pervoye Maya,56.164,44.7196,13.71,100,75,4.36,RU,light snow
171,Ponta Delgada,37.7333,-25.6667,61.52,63,20,14.97,PT,few clouds
